"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4592","create User - Matt","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","356","POST API -- create single user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","3587","Verify Search results count- macbook -MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2888","excel data for invalid scenarios - invalidujm@gmail.com
 - wron123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","389","create User test","chromium","2026-06-27","passed","2026-06-27","","api/usersapi.spec.ts","",""
"","1037","PATCH -- update a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","357","GET API -- get all Users","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","0","delete User test","chromium","2026-06-27","skipped","2026-06-27","","api/usersapi.spec.ts","",""
"","3160","homepage headers exist test","chromium","2026-06-27","passed","2026-06-27","","homepage.spec.ts","",""
"","3125","@regression companyLogo exists on productpage","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","321","GET---get all user","chromium","2026-06-27","passed","2026-06-27","","api/user.schema.spec.ts","",""
"","2775","json data for invalid scenarios - Worng@gmail.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","4563","@smoke verify the the product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2946","excel data for invalid scenarios - larrymith@gmail.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","4202","create User - Chris","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","389","Delete API -- Delete single user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","4467","Verify user able to land the product page - macbook -MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2878","invalid Login Test with - - pw1234","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3132","homepage headers exist test","chromium","2026-06-27","passed","2026-06-27","","homePageFix.spec.ts","",""
"","3096","Home Page title test","chromium","2026-06-27","passed","2026-06-27","","homePageFix.spec.ts","",""
"","2974","check the register page is visible","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","2228","@smoke Login Page title test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","1866","PUT -- update a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","2852","invalid Login Test with - larrymith@gmail.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","145","Post Add Contact","chromium","2026-06-27","passed","2026-06-27","","api/api.contacts.spec.ts","",""
"","3088","@regression User able to loginto app test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","1704","POST -- create a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","3101","Logout link exisit","chromium","2026-06-27","passed","2026-06-27","","homepage.spec.ts","",""
"","365","getUser test","chromium","2026-06-27","passed","2026-06-27","","api/usersapi.spec.ts","",""
"","341","PUT API -- Update single user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","4606","Verify user able to land the product page - imac -iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3023","Logout link exisit","chromium","2026-06-27","passed","2026-06-27","","homePageFix.spec.ts","",""
"","2820","excel data for invalid scenarios - - w1234","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","197","mock search data API","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","2389","Forgot pwd Link exist test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","1","Update User test","chromium","2026-06-27","skipped","2026-06-27","","api/usersapi.spec.ts","",""
"","1178","Delete -- delete a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","4519","Verify user able to land the product page - macbook -MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2385","Forgot pwd Link exist test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","3605","Verify Search results count- macbook -MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3044","Home Page title test","chromium","2026-06-27","passed","2026-06-27","","homepage.spec.ts","",""
"","4806","@smoke verify tproduct Information data","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","3593","Verify Search results count- imac -iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2817","invalid Login Test with - invalidujm@open.com - wron123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","696","GET---get a user","chromium","2026-06-27","passed","2026-06-27","","api/user.schema.spec.ts","",""
"","3160","@regression footers exists on productpage","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","4411","create User - Caroline","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","852","GET -- LocationData","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
"","3938","create User - Pery","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","3766","loging to app using wrong credentials with data driven test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3147","User able to loginto app test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3053","intercept and log requests","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","2823","json data for invalid scenarios - Worng@gmail.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","4313","create User - John","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","2806","json data for invalid scenarios - larrymith@gmail.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2417","Login Page title test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
