"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4402","create User - Matt","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","3131","homepage headers exist test","chromium","2026-06-27","passed","2026-06-27","","homePageFix.spec.ts","",""
"","2916","excel data for invalid scenarios - larrymith@gmail.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2381","Forgot pwd Link exist test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","0","delete User test","chromium","2026-06-27","skipped","2026-06-27","","api/usersapi.spec.ts","",""
"","3920","create User - Chris","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","0","Update User test","chromium","2026-06-27","skipped","2026-06-27","","api/usersapi.spec.ts","",""
"","2327","Login Page title test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","4942","@smoke verify the the product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","180","mock search data API","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","4435","Verify user able to land the product page - macbook -MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","840","Delete -- delete a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","1079","POST -- create a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","1330","PUT -- update a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","2844","json data for invalid scenarios - Worng@gmail.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3564","Verify Search results count- macbook -MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","318","Delete API -- Delete single user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","769","GET -- LocationData","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
"","2891","excel data for invalid scenarios - invalidujm@gmail.com
 - wron123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","596","GET---get a user","chromium","2026-06-27","passed","2026-06-27","","api/user.schema.spec.ts","",""
"","4684","create User - Pery","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
